id,cntry,country,sex,agea,yrbrn,mars_status,region_cat,education_level,main_activity,occupation,feel_income,born_in_cntry,citizen,minority_ethnic,left_right,church,hhmmb,locality,voted,backstory,dweight,pspwght,pweight,anweight,stratum,psu
21,GB,United Kingdom,Female,19.0,1999.0,None of these (NEVER married or in legally registered civil partnership),UKF,None of these,Education,prefer not to say,Living comfortably on present income,No,No,No,2.0,Only on special holy days,1.0,Town or small city,Not eligible to vote,"I am a female. I am 19 years old and I was born in 1999. I am never married or in a civil partnership. I am from East Midlands (England). I was not born in this country. I am not a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is None of these. In the last week I have mainly been education. I have never been a member of a trade union. My household income is in the 1st decile nationally. I would say that we are living comfortably on present income. I would describe my general health as good. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 9. On a scale from 0 to 10, my life satisfaction is 8. I meet socially with friends, relatives or colleagues every day. On a scale from 0 to 10, I believe most people can be trusted: 6. On a scale from 0 to 10, I believe most people try to be fair: 4. On a scale from 0 to 10, I believe most people try to be helpful: 6. I do not consider myself as belonging to any particular religion. On a scale from 0 to 10, I would rate my religiousness as 7. I am quite interested in politics. On a left (0) to right (10) political scale, I would place myself at 2. I was not eligible to vote in the last general election. On a scale from 0 to 10, my trust in parliament is 7. On a scale from 0 to 10, my trust in politicians is 7. I have not felt discriminated against in the last 12 months.",2.037545919418335,2.550032615661621,2.4683315753936768,6.294325828552246,1588,12304
23,GB,United Kingdom,Male,42.0,1976.0,,UKK,None of these,Paid work,Technician or associate professional,Living comfortably on present income,Yes,Yes,No,4.0,Less often,4.0,Country village,Yes,"I am a male. I am 42 years old and I was born in 1976. I am single. I am from South West (England). I was born in this country. I am a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is None of these. I finished my full-time education at age 18. In the last week I have mainly been paid work. My occupation is Statistical, mathematical and related associate professionals. I have never been a member of a trade union. My household income is in the 9th decile nationally. I would say that we are living comfortably on present income. I would describe my general health as very good. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 8. On a scale from 0 to 10, my life satisfaction is 8. I meet socially with friends, relatives or colleagues once a week. On a scale from 0 to 10, I believe most people can be trusted: 7. On a scale from 0 to 10, I believe most people try to be fair: 6. On a scale from 0 to 10, I believe most people try to be helpful: 6. I consider myself as belonging to a particular religion. On a scale from 0 to 10, I would rate my religiousness as 3. I am very interested in politics. On a left (0) to right (10) political scale, I would place myself at 4. I voted in the last general election. I voted for Conservative. On a scale from 0 to 10, my trust in parliament is 3. On a scale from 0 to 10, my trust in politicians is 3. I have not felt discriminated against in the last 12 months.",1.0187729597091675,1.0932655334472656,2.4683315753936768,2.6985418796539307,1440,12445
41,GB,United Kingdom,Female,15.0,2003.0,None of these (NEVER married or in legally registered civil partnership),UKD,None of these,Education,prefer not to say,Living comfortably on present income,Yes,Yes,No,,Only on special holy days,3.0,Suburbs or outskirts of big city,Not eligible to vote,"I am a female. I am 15 years old and I was born in 2003. I am never married or in a civil partnership. I am from North West (England). I was born in this country. I am a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is None of these. In the last week I have mainly been education. I have never been a member of a trade union. My household income is in the 3rd decile nationally. I would say that we are living comfortably on present income. I would describe my general health as good. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 8. On a scale from 0 to 10, my life satisfaction is 8. I meet socially with friends, relatives or colleagues several times a week. On a scale from 0 to 10, I believe most people can be trusted: 6. On a scale from 0 to 10, I believe most people try to be fair: 5. On a scale from 0 to 10, I believe most people try to be helpful: 7. I do not consider myself as belonging to any particular religion. On a scale from 0 to 10, I would rate my religiousness as 3. I am hardly interested in politics. I was not eligible to vote in the last general election. On a scale from 0 to 10, my trust in parliament is 4. On a scale from 0 to 10, my trust in politicians is 5. I have not felt discriminated against in the last 12 months.",1.528159499168396,1.9591819047927856,2.4683315753936768,4.835910320281982,1560,12337
53,GB,United Kingdom,Female,66.0,1952.0,Legally married,UKD,"3-4 year University/CNAA first Degree (BA, BSc., BEd., BEng. etc)",Retired,Professional,Living comfortably on present income,Yes,Yes,No,5.0,Never,1.0,Town or small city,Yes,"I am a female. I am 66 years old and I was born in 1952. I am legally married. I am from North West (England). I was born in this country. I am a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is 3-4 year University/CNAA first Degree (BA, BSc., BEd., BEng. etc). I finished my full-time education at age 21. In the last week I have mainly been retired. My occupation is Secondary education teachers. I was previously a member of a trade union but am not now. My household income is in the 8th decile nationally. I would say that we are living comfortably on present income. I would describe my general health as good. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 3. On a scale from 0 to 10, my life satisfaction is 3. I meet socially with friends, relatives or colleagues several times a month. On a scale from 0 to 10, I believe most people can be trusted: 5. On a scale from 0 to 10, I believe most people try to be fair: 7. On a scale from 0 to 10, I believe most people try to be helpful: 7. I consider myself as belonging to a particular religion. On a scale from 0 to 10, I would rate my religiousness as 3. I am quite interested in politics. On a left (0) to right (10) political scale, I would place myself at 5. I voted in the last general election. On a scale from 0 to 10, my trust in parliament is 3. On a scale from 0 to 10, my trust in politicians is 5. I have not felt discriminated against in the last 12 months.",0.5093864798545837,0.47314217686653137,2.4683315753936768,1.1678718328475952,1554,12255
82,GB,United Kingdom,Female,52.0,1966.0,,UKG,"(Modern) Apprenticeship, Advanced (Modern) Apprenticeship, SVQ/NVQ/Key Skills Level 1 and 2, City and Guilds Craft/Inter",Permanently sick or disabled,Technician or associate professional,Difficult on present income,Yes,Yes,No,5.0,Less often,2.0,Town or small city,No,"I am a female. I am 52 years old and I was born in 1966. I am single. I am from West Midlands (England). I was born in this country. I am a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is (Modern) Apprenticeship, Advanced (Modern) Apprenticeship, SVQ/NVQ/Key Skills Level 1 and 2, City and Guilds Craft/Inter. I finished my full-time education at age 16. In the last week I have mainly been permanently sick or disabled. My occupation is Office supervisors. I was previously a member of a trade union but am not now. My household income is in the 1st decile nationally. I would say that we are difficult on present income. I would describe my general health as bad. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 6. On a scale from 0 to 10, my life satisfaction is 4. I meet socially with friends, relatives or colleagues less than once a month. On a scale from 0 to 10, I believe most people can be trusted: 7. On a scale from 0 to 10, I believe most people try to be fair: 5. On a scale from 0 to 10, I believe most people try to be helpful: 4. I consider myself as belonging to a particular religion. On a scale from 0 to 10, I would rate my religiousness as 5. I am hardly interested in politics. On a left (0) to right (10) political scale, I would place myself at 5. I did not vote in the last general election. On a scale from 0 to 10, my trust in parliament is 2. On a scale from 0 to 10, my trust in politicians is 2. I have not felt discriminated against in the last 12 months.",1.0187729597091675,1.206358790397644,2.4683315753936768,2.977693557739258,1417,12401
89,GB,United Kingdom,Male,21.0,1997.0,None of these (NEVER married or in legally registered civil partnership),UKC,"Edexcel/BTEC/BEC/TEC - Higher National Certificate (HNC) or equivalent, Certificate of Higher Education",Paid work,Elementary occupation,Coping on present income,No,Yes,Yes,5.0,Only on special holy days,2.0,A big city,Yes,"I am a male. I am 21 years old and I was born in 1997. I am never married or in a civil partnership. I am from North East (England). I was not born in this country. I am a citizen of this country. I belong to an ethnic minority group. My highest educational qualification is Edexcel/BTEC/BEC/TEC - Higher National Certificate (HNC) or equivalent, Certificate of Higher Education. I finished my full-time education at age 18. In the last week I have mainly been paid work. My occupation is Cleaners and helpers in offices, hotels and other establishments. I have never been a member of a trade union. My household income is in the 4th decile nationally. I would say that we are coping on present income. I would describe my general health as fair. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 5. On a scale from 0 to 10, my life satisfaction is 6. I meet socially with friends, relatives or colleagues less than once a month. On a scale from 0 to 10, I believe most people can be trusted: 6. On a scale from 0 to 10, I believe most people try to be fair: 5. On a scale from 0 to 10, I believe most people try to be helpful: 7. I do not consider myself as belonging to any particular religion. On a scale from 0 to 10, I would rate my religiousness as 4. I am hardly interested in politics. On a left (0) to right (10) political scale, I would place myself at 5. I voted in the last general election. I voted for Labour. On a scale from 0 to 10, my trust in parliament is 6. On a scale from 0 to 10, my trust in politicians is 5. I have felt discriminated against in the last 12 months.",1.0187729597091675,1.3198249340057373,2.4683315753936768,3.257765531539917,1558,12330
95,GB,United Kingdom,Male,76.0,1942.0,,UKJ,"Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates",Retired,Professional,Living comfortably on present income,Yes,Yes,No,8.0,Never,4.0,Town or small city,Yes,"I am a male. I am 76 years old and I was born in 1942. I am single. I am from South East (England). I was born in this country. I am a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates. I finished my full-time education at age 22. In the last week I have mainly been retired. My occupation is Creative and performing artists. I was previously a member of a trade union but am not now. My household income is in the 10th decile nationally. I would say that we are living comfortably on present income. I would describe my general health as very good. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 6. On a scale from 0 to 10, my life satisfaction is 3. I meet socially with friends, relatives or colleagues once a week. On a scale from 0 to 10, I believe most people can be trusted: 8. On a scale from 0 to 10, I believe most people try to be fair: 8. On a scale from 0 to 10, I believe most people try to be helpful: 7. I do not consider myself as belonging to any particular religion. On a scale from 0 to 10, I would rate my religiousness as 2. I am very interested in politics. On a left (0) to right (10) political scale, I would place myself at 8. I voted in the last general election. I voted for Conservative. On a scale from 0 to 10, my trust in parliament is 3. On a scale from 0 to 10, my trust in politicians is 3. I have not felt discriminated against in the last 12 months.",2.037545919418335,1.4712680578231812,2.4683315753936768,3.631577491760254,1523,12147
98,GB,United Kingdom,Female,84.0,1934.0,Widowed / Civil partner died,UKF,None of these,Retired,Service and sales worker,Coping on present income,Yes,Yes,No,6.0,Once a week,1.0,Town or small city,Yes,"I am a female. I am 84 years old and I was born in 1934. I am Widowed / Civil partner died. I am from East Midlands (England). I was born in this country. I am a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is None of these. I finished my full-time education at age 15. In the last week I have mainly been retired. My occupation is Shop sales assistants. I have never been a member of a trade union. My household income is in the 1st decile nationally. I would say that we are coping on present income. I would describe my general health as good. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 9. On a scale from 0 to 10, my life satisfaction is 8. I meet socially with friends, relatives or colleagues once a week. On a scale from 0 to 10, I believe most people can be trusted: 4. On a scale from 0 to 10, I believe most people try to be fair: 5. On a scale from 0 to 10, I believe most people try to be helpful: 4. I consider myself as belonging to a particular religion. On a scale from 0 to 10, I would rate my religiousness as 9. I am quite interested in politics. On a left (0) to right (10) political scale, I would place myself at 6. I voted in the last general election. I voted for Conservative. On a scale from 0 to 10, my trust in parliament is 6. On a scale from 0 to 10, my trust in politicians is 6. I have not felt discriminated against in the last 12 months.",0.5093864798545837,0.46187442541122437,2.4683315753936768,1.140059232711792,1402,12392
172,GB,United Kingdom,Male,38.0,1980.0,None of these (NEVER married or in legally registered civil partnership),UKI,"Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates",Paid work,Professional,Coping on present income,No,No,No,3.0,Never,1.0,A big city,No,"I am a male. I am 38 years old and I was born in 1980. I am never married or in a civil partnership. I am from London. I was not born in this country. I am not a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates. I finished my full-time education at age 20. In the last week I have mainly been paid work. My occupation is Management and organization analysts. I was previously a member of a trade union but am not now. My household income is in the 7th decile nationally. I would say that we are coping on present income. I would describe my general health as fair. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 6. On a scale from 0 to 10, my life satisfaction is 6. I meet socially with friends, relatives or colleagues once a week. On a scale from 0 to 10, I believe most people can be trusted: 8. On a scale from 0 to 10, I believe most people try to be fair: 8. On a scale from 0 to 10, I believe most people try to be helpful: 7. I do not consider myself as belonging to any particular religion. On a scale from 0 to 10, I would rate my religiousness as 1. I am hardly interested in politics. On a left (0) to right (10) political scale, I would place myself at 3. I did not vote in the last general election. On a scale from 0 to 10, my trust in parliament is 7. On a scale from 0 to 10, my trust in politicians is 5. I have not felt discriminated against in the last 12 months.",0.5093864798545837,0.6377797722816467,2.4683315753936768,1.5742520093917847,1478,12161
178,GB,United Kingdom,Male,64.0,1954.0,,UKK,"Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates",Retired,Professional,Living comfortably on present income,Yes,Yes,No,2.0,Once a week,2.0,Town or small city,Yes,"I am a male. I am 64 years old and I was born in 1954. I am single. I am from South West (England). I was born in this country. I am a citizen of this country. I do not belong to an ethnic minority group. My highest educational qualification is Masters Degree, M.Phil, Post-Graduate Diplomas and Certificates. I finished my full-time education at age 23. In the last week I have mainly been retired. My occupation is Legal, social and cultural professionals. I have never been a member of a trade union. My household income is in the 6th decile nationally. I would say that we are living comfortably on present income. I would describe my general health as fair. On a scale from 0 (extremely unhappy) to 10 (extremely happy), my happiness is 7. On a scale from 0 to 10, my life satisfaction is 8. I meet socially with friends, relatives or colleagues once a week. On a scale from 0 to 10, I believe most people can be trusted: 7. On a scale from 0 to 10, I believe most people try to be fair: 7. On a scale from 0 to 10, I believe most people try to be helpful: 7. I consider myself as belonging to a particular religion. On a scale from 0 to 10, I would rate my religiousness as 8. I am very interested in politics. On a left (0) to right (10) political scale, I would place myself at 2. I voted in the last general election. I voted for Liberal Democrat. On a scale from 0 to 10, my trust in parliament is 7. On a scale from 0 to 10, my trust in politicians is 7. I have not felt discriminated against in the last 12 months.",1.0187729597091675,0.7758576273918152,2.4683315753936768,1.9150738716125488,1444,12446
